id,name,primaryContactName,email,phone,address,industry,birthday,anniversaryDate,createdAt,updatedAt
34385301-cec9-455f-94bc-b3351b22edb8,kfn holdings,Hassan Raza,hassan.raza@kfn.com.sa,+966551122334,,,,,2026-08-05 11:07:56.487+00,2026-08-05 11:07:56.487+00
c0e9118f-478d-4bed-9e30-9af1b0b654e0,designers hub,Yasmin Qureshi,yasmin@designershub.com,+971509876543,,,,,2026-08-05 11:07:56.498+00,2026-08-05 11:07:56.498+00
d0a815ca-b451-4617-8cee-8dca2ab14695,red sea dev,Khaled Al-Masri,khaled@redseadev.sa,+966501234567,,,,,2026-08-05 11:07:56.632+00,2026-08-05 11:07:56.632+00
978a5ab6-71e7-4d40-8cf8-d1c3ee2ecb5f,Vanguard Holdings Inc.,Mary Davis,mary.davis@vanguardholdingsinc.com,+1 (571) 295-5458,"7026 Business Avenue, Suite 149, San Francisco, United States",Automotive,,,2026-08-05 11:08:17.94+00,2026-08-05 11:08:41.863+00
9ffa2ead-622b-404c-b159-5c4c8488e79e,Genesis Systems Inc.,John Anderson,john.anderson@genesissystemsinc.com,+1 (215) 162-1837,"6651 Business Avenue, Suite 668, Chicago, United States",Pharmaceutical,,,2026-08-05 11:08:18.177+00,2026-08-05 11:08:42.15+00
c5486868-dbea-497e-9826-ef2053152713,Horizon Energy Inc.,Patricia Perez,patricia.perez@horizonenergyinc.com,+1 (218) 271-1602,"2787 Business Avenue, Suite 435, London, United Kingdom",Food & Beverage,,,2026-08-05 11:08:18.412+00,2026-08-05 11:08:42.421+00
099261bd-f4cb-4545-bf46-3b461d7707ce,Pinnacle Robotics Inc.,Robert Lewis,robert.lewis@pinnacleroboticsinc.com,+1 (453) 161-7645,"6891 Business Avenue, Suite 401, Frankfurt, Germany",FMCG,,,2026-08-05 11:08:18.647+00,2026-08-05 11:08:42.673+00
dad83353-9b9f-430e-8264-b7767d864bcc,Titan Pharmaceuticals Inc.,Jennifer Scott,jennifer.scott@titanpharmaceuticalsinc.com,+1 (844) 638-3283,"4850 Business Avenue, Suite 229, Tokyo, Japan",Logistics,,,2026-08-05 11:08:18.881+00,2026-08-05 11:08:42.924+00
8a6209ad-6e96-4d32-ba53-0649ffbcb709,Quantum Holdings Inc.,Michael Williams,michael.williams@quantumholdingsinc.com,+1 (967) 229-2704,"1255 Business Avenue, Suite 499, Toronto, Canada",Construction,,,2026-08-05 11:08:19.117+00,2026-08-05 11:08:43.169+00
8ca41a77-2c11-499a-9db1-4646cc34946b,Nexus Systems Inc.,Linda Martinez,linda.martinez@nexussystemsinc.com,+1 (428) 125-4817,"6522 Business Avenue, Suite 299, Paris, France",Technology,,,2026-08-05 11:08:19.351+00,2026-08-05 11:08:43.406+00
44eade90-d415-431d-9fad-7547702781a3,Starlight Energy Inc.,William Taylor,william.taylor@starlightenergyinc.com,+1 (602) 172-5351,"3094 Business Avenue, Suite 170, Singapore, Singapore",Retail,,,2026-08-05 11:08:19.587+00,2026-08-05 11:08:43.645+00
7880754e-f21c-406b-a503-8ab3fe85a6dc,Beacon Robotics Inc.,Elizabeth White,elizabeth.white@beaconroboticsinc.com,+1 (399) 250-5394,"6322 Business Avenue, Suite 174, Sydney, Australia",Healthcare,,,2026-08-05 11:08:19.822+00,2026-08-05 11:08:43.883+00
01d1bc6b-8071-4596-a764-a189494a311c,Sterling Pharmaceuticals Inc.,David Walker,david.walker@sterlingpharmaceuticalsinc.com,+1 (897) 838-1961,"2432 Business Avenue, Suite 727, New York, United States",Manufacturing,,,2026-08-05 11:08:20.059+00,2026-08-05 11:08:44.121+00
7f4ab8ee-d105-4011-a8e6-6fa38fc926d7,Synergy Holdings Inc.,Barbara Nguyen,barbara.nguyen@synergyholdingsinc.com,+1 (617) 892-4455,"8397 Business Avenue, Suite 418, San Francisco, United States",Automotive,,,2026-08-05 11:08:20.313+00,2026-08-05 11:08:44.361+00
af1d1864-9b90-466d-aaba-0bfef727355c,Omni Energy Inc.,Susan Lopez,susan.lopez@omnienergyinc.com,+1 (983) 902-8955,"3862 Business Avenue, Suite 117, London, United Kingdom",Food & Beverage,,,2026-08-05 11:08:20.782+00,2026-08-05 11:08:44.836+00
f3359005-50be-4fb9-90ab-507d7c5e7d99,Prism Robotics Inc.,Joseph Jackson,joseph.jackson@prismroboticsinc.com,+1 (735) 854-5962,"2831 Business Avenue, Suite 544, Frankfurt, Germany",FMCG,,,2026-08-05 11:08:21.016+00,2026-08-05 11:08:45.072+00
