id,firstName,lastName,company,email,phone,status,source,industry,leadScore,sourceDetail,campaign,rawPayload,isStrategic,optedOutEmail,subject,body,budgetRange,customerId,leadNumber,categoriesData,recipientEmail,assignmentMethod,lastWhatsappAt,unreadWhatsappCount,whatsappPhone,communicationChannel,createdAt,updatedAt,assignedToId,temperature,temperatureOverride,lastInboundAt,responsivenessScore,assignmentType,nextAction,nextActionDue,qualificationData,accountId,campaignId,adId,sourceType,sourceChannel,sourceName,referringAccountId,firstTouchAttribution,lastTouchAttribution
71575133-d609-4bb5-b79f-005b6a237b56,David,Miller,Apex Robotics Systems,lead_1786949195472@apexrobotics.io,+15559876543,CONVERTED,Website,,90,,,,f,f,,,,34385301-cec9-455f-94bc-b3351b22edb8,LD-195472,,,,,0,,email,2026-08-17 06:46:35.474+00,2026-08-17 07:06:46.811+00,63fa2b66-da53-4776-811f-81daad0b4364,Hot,f,,0,AUTOMATIC,Prepare Quote,2026-08-18 06:46:36.48+00,"{""requirement"":""Turnkey Autonomous Sorting System (5 lines)"",""estimatedValue"":1800000,""budget"":""₹18L - ₹22L"",""timeline"":""Q3 Deployment"",""decisionMaker"":""David Miller (VP Operations)"",""productService"":""General Solutions"",""probability"":50,""notes"":"""",""qualifiedAt"":""2026-08-17T06:46:38.541Z"",""qualifiedBy"":""63fa2b66-da53-4776-811f-81daad0b4364"",""opportunityId"":""94a469d9-4559-416f-a4d6-05f6c4431861"",""accountId"":""74fc81fa-038d-4efc-9a07-201d9e4b21ba""}",34385301-cec9-455f-94bc-b3351b22edb8,,,,,,,,
15ab410c-3555-41b0-b7fa-a10a258e3196,David,Jackson,Horizon Energy Inc.,david.jackson@horizonenergyinc.com,+1 (254) 973-1531,NEW,G2 Crowd Lead,Food & Beverage,76,,Q1 Enterprise Tech Expo,,f,f,,,$388k,c5486868-dbea-497e-9826-ef2053152713,LD-2025-01004,,,,,0,,,2025-10-15 11:09:07.304+00,2026-08-05 11:09:07.304+00,604bb8ab-99ba-4134-8053-815900a040c0,Warm,f,,0,AUTOMATIC,Reply to Lead,,,c5486868-dbea-497e-9826-ef2053152713,,,,,,,,
e47b9143-7fc3-4d80-a33b-42dba18007ed,Michael,Hill,Titan Pharmaceuticals Group,michael.hill@titanpharmaceuticalsgroup.com,+1 (522) 956-5623,NEW,WhatsApp Inbound,Logistics,53,,LinkedIn Account Based Marketing,,f,f,,,$160k,e8aa6b7c-68c2-4a0a-ab45-f673aaf7abcc,LD-2025-01496,,,,2026-08-05 11:11:05.327+00,3,,,2025-09-08 11:11:05.327+00,2026-08-17 07:17:38.006+00,44eb7440-fb3c-48fc-80f4-4eefdcbab25e,Warm,f,,0,AUTOMATIC,Reply to Lead,2026-08-17 09:17:38.006+00,,e8aa6b7c-68c2-4a0a-ab45-f673aaf7abcc,,,,,,,,
a70852be-27f7-4e05-a103-5531471ade38,Alexander,Vance,Nexus Industrial Systems 658827,lead_658827@nexus-industrial.com,+966551234567,CONVERTED,Website,Manufacturing,100,Industrial Automation Demo Form,Automation 2026 Promo,,f,f,,Looking for complete automated PLC control packaging lines.,"₹20,00,000 - ₹50,00,000",23a9695f-9bb7-42d7-8f30-f221c746bb45,LD-001079,,,,,0,,email,2026-08-17 07:45:35.316+00,2026-08-17 07:45:58.01+00,75a47989-b9ac-4733-a4ba-d3568a7b193c,Hot,f,,0,AUTOMATIC,Follow Up on Opportunity,2026-08-18 07:45:38.693+00,"{""requirement"":""2 Industrial PLC Packaging Lines with Conveyors"",""estimatedValue"":2400000,""budget"":""Approved ₹25,00,000 CapEx"",""timeline"":""Within 60 Days"",""decisionMaker"":""Alexander Vance (Managing Director)"",""productService"":""General Solutions"",""probability"":50,""notes"":""High intent client, ready for immediate proposal."",""qualifiedAt"":""2026-08-17T07:45:41.152Z"",""qualifiedBy"":""42a679ed-ba3b-4b85-bf6a-9d83beb83b78"",""opportunityId"":""208bc056-eea9-4b25-b87b-30c3ac9ee323"",""accountId"":""23a9695f-9bb7-42d7-8f30-f221c746bb45"",""convertedAt"":""2026-08-17T07:45:41.152Z"",""convertedAccountId"":""23a9695f-9bb7-42d7-8f30-f221c746bb45"",""convertedContactId"":""aceab87c-0d23-4262-9d62-fdb5623390f8"",""convertedOpportunityId"":""208bc056-eea9-4b25-b87b-30c3ac9ee323""}",23a9695f-9bb7-42d7-8f30-f221c746bb45,,,,,,,,
a5bff11f-5672-4549-8f4c-158db4d207b3,Alexander,Vance,Nexus Industrial Systems 890419,lead_890419@nexus-industrial.com,+966551234567,NEW,Website,,100,,,,f,f,,Second enquiry for expansion.,,cad6bd3b-9cd1-46a9-b5d5-1bc10ab4b3ee,LD-001081,,,,,0,,email,2026-08-17 07:48:28.559+00,2026-08-17 09:46:15.621+00,75a47989-b9ac-4733-a4ba-d3568a7b193c,Hot,f,,0,AUTOMATIC,Reply to Lead,2026-08-17 09:48:28.559+00,,cad6bd3b-9cd1-46a9-b5d5-1bc10ab4b3ee,,,,,,,,
74bd457d-67e6-47af-8576-ce22b71db80e,Hassan,Raza,KFN Holdings,hassan.raza@kfn.com.sa,+966551122334,NEW,LinkedIn,,95,LinkedIn Lead Gen Forms Mock,Enterprise Prefab Buildings,"{""simulated"":true,""linkedin_form_id"":""li_form_993"",""profile_url"":""linkedin.com/in/hassanraza""}",f,f,,,,adc833ad-1be5-41fe-9540-6f265e97aa49,LD-001083,,,,,0,,email,2026-08-17 09:43:26.246+00,2026-08-17 09:46:15.853+00,75a47989-b9ac-4733-a4ba-d3568a7b193c,Hot,f,,0,AUTOMATIC,Reply to Lead,2026-08-17 11:43:26.246+00,,adc833ad-1be5-41fe-9540-6f265e97aa49,,,,,,,,
33a34087-81fc-407c-a078-3901d1e6fe26,Tariq,Jameel,BuildCorp LLC,tariq@buildcorp.ae,+971509876543,NEW,Facebook,,85,Meta Ads Lead Form Mock,Prefab Office Ads,"{""simulated"":true,""ad_id"":""meta_ad_prefab_101"",""lead_id"":""fb_lead_55029""}",f,f,,,,695729d5-b8d4-4caf-9188-262a2db133aa,LD-001085,,,,,0,,email,2026-08-17 09:45:24.882+00,2026-08-17 09:46:16.084+00,75a47989-b9ac-4733-a4ba-d3568a7b193c,Hot,f,,0,AUTOMATIC,Reply to Lead,2026-08-17 11:45:24.881+00,,695729d5-b8d4-4caf-9188-262a2db133aa,,,,,,,,
e22df154-6b80-4cf0-b7b2-9a6437fedbc3,Majed,Al-Otaibi,Riyadh Construction,majed@riyadhconst.com,+966501234567,NEW,Email,,85,Gmail Mock Integration,GCC Site Cabin Campaign,"{""simulated"":true,""headers"":{""from"":""majed@riyadhconst.com"",""subject"":""Quote request for site cabins""}}",f,f,,,,e36adc11-50c5-40bd-b627-2db2eb404c50,LD-001086,,,,,0,,email,2026-08-17 09:45:34.319+00,2026-08-17 09:46:16.316+00,75a47989-b9ac-4733-a4ba-d3568a7b193c,Hot,f,,0,AUTOMATIC,Reply to Lead,2026-08-17 11:45:34.318+00,,e36adc11-50c5-40bd-b627-2db2eb404c50,,,,,,,,
3e38e4c7-74bf-4833-8819-30f8e54276d9,Alexander,Vance,Nexus Industrial Systems 974189,lead_974189@nexus-industrial.com,+966551234567,CONVERTED,Website,Manufacturing,100,Industrial Automation Demo Form,Automation 2026 Promo,,f,f,,Looking for complete automated PLC control packaging lines.,"₹20,00,000 - ₹50,00,000",a8e20e35-77fe-49f3-b6bd-af070872b940,LD-2026-01087,,,,,0,,email,2026-08-17 09:46:17.668+00,2026-08-17 09:47:41.54+00,75a47989-b9ac-4733-a4ba-d3568a7b193c,Hot,f,,0,AUTOMATIC,Follow Up on Opportunity,2026-08-18 09:46:21.252+00,"{""requirement"":""2 Industrial PLC Packaging Lines with Conveyors"",""estimatedValue"":2400000,""budget"":""Approved ₹25,00,000 CapEx"",""timeline"":""Within 60 Days"",""decisionMaker"":""Alexander Vance (Managing Director)"",""productService"":""General Solutions"",""probability"":50,""notes"":""High intent client, ready for immediate proposal."",""qualifiedAt"":""2026-08-17T09:46:24.096Z"",""qualifiedBy"":""42a679ed-ba3b-4b85-bf6a-9d83beb83b78"",""opportunityId"":""e43766be-cd8a-4eaf-a628-3f2d549d43e8"",""accountId"":""a8e20e35-77fe-49f3-b6bd-af070872b940"",""convertedAt"":""2026-08-17T09:46:24.096Z"",""convertedAccountId"":""a8e20e35-77fe-49f3-b6bd-af070872b940"",""convertedContactId"":""02c3d0c0-d71a-4d0f-b9d0-ce687084b621"",""convertedOpportunityId"":""e43766be-cd8a-4eaf-a628-3f2d549d43e8""}",a8e20e35-77fe-49f3-b6bd-af070872b940,,,,,,,,
09b12554-6aab-468f-abfd-510e82a04e0a,Alexander,Vance,Nexus Industrial Systems 974189,lead_974189@nexus-industrial.com,+966551234567,NEW,Website,,100,,,,f,f,,Second enquiry for expansion.,,a8e20e35-77fe-49f3-b6bd-af070872b940,LD-2026-01088,,,,,0,,email,2026-08-17 09:46:34.485+00,2026-08-17 09:47:41.777+00,75a47989-b9ac-4733-a4ba-d3568a7b193c,Hot,f,,0,AUTOMATIC,Reply to Lead,2026-08-17 11:46:34.485+00,,a8e20e35-77fe-49f3-b6bd-af070872b940,,,,,,,,
